Time,Level,Noise,Frequency,Bandwidth
19:44.7,-20.48,-41.63,103300,16000
19:44.7,-20.8,-41.66,103300,16000
19:44.8,-21.76,-41.7,103300,16000
19:44.8,-22.53,-41.72,103300,16000
19:44.9,-21.49,-41.74,103300,16000
19:44.9,-23.48,-41.75,103300,16000
19:45.0,-22.13,-41.75,103300,16000
19:45.1,-19.85,-41.75,103300,16000
19:45.1,-20.5,-41.77,103300,16000
19:45.2,-19.45,-41.73,103300,16000
19:45.2,-20.38,-41.67,103300,16000
19:45.3,-20.14,-41.63,103300,16000
19:45.3,-20.9,-41.61,103300,16000
19:45.3,-22.71,-41.6,103300,16000
19:45.4,-22.72,-41.64,103300,16000
19:45.4,-22.83,-41.68,103300,16000
19:45.5,-22.71,-41.7,103300,16000
19:45.6,-23,-41.74,103300,16000
19:45.6,-21.79,-41.77,103300,16000
19:45.7,-22.58,-41.8,103300,16000
19:45.7,-22.48,-41.83,103300,16000
19:45.8,-23.61,-41.79,103300,16000
19:45.8,-22.91,-41.79,103300,16000
19:45.9,-22.33,-41.82,103300,16000
19:45.9,-22.1,-41.85,103300,16000
19:45.9,-20.25,-41.85,103300,16000
19:46.0,-23.1,-41.85,103300,16000
19:46.1,-22.38,-41.84,103300,16000
19:46.1,-22.24,-41.86,103300,16000
19:46.2,-19.98,-41.9,103300,16000
19:46.2,-21.65,-41.9,103300,16000
19:46.2,-19.97,-41.87,103300,16000
19:46.3,-22.6,-41.84,103300,16000
19:46.4,-21.42,-41.86,103300,16000
19:46.4,-22.56,-41.81,103300,16000
19:46.4,-22.9,-41.79,103300,16000
19:46.5,-21.87,-41.8,103300,16000
19:46.6,-21.16,-41.8,103300,16000
19:46.6,-22.09,-41.77,103300,16000
19:46.7,-20.4,-41.75,103300,16000
19:46.7,-20.08,-41.72,103300,16000
19:46.8,-22.35,-41.7,103300,16000
19:46.8,-22.63,-41.7,103300,16000
19:46.9,-21.53,-41.73,103300,16000
19:46.9,-21.56,-41.71,103300,16000
19:47.0,-21.23,-41.73,103300,16000
19:47.0,-22.47,-41.74,103300,16000
19:47.1,-20.42,-41.74,103300,16000
19:47.1,-21.62,-41.78,103300,16000
19:47.2,-20.46,-41.78,103300,16000
19:47.2,-21.91,-41.76,103300,16000
19:47.3,-21.86,-41.78,103300,16000
19:47.3,-21.68,-41.83,103300,16000
19:47.4,-22.72,-41.87,103300,16000
19:47.4,-21.01,-41.85,103300,16000
19:47.5,-21.78,-41.85,103300,16000
19:47.5,-21.31,-41.78,103300,16000
19:47.6,-22.15,-41.78,103300,16000
19:47.6,-22.96,-41.79,103300,16000
19:47.7,-23.05,-41.82,103300,16000
19:47.8,-21.71,-41.89,103300,16000
19:47.8,-20.91,-41.92,103300,16000
19:47.9,-21.13,-41.88,103300,16000
19:47.9,-21.29,-41.84,103300,16000
19:47.9,-22.53,-41.82,103300,16000
19:48.0,-22.47,-41.81,103300,16000
19:48.1,-20.73,-41.83,103300,16000
19:48.1,-20.31,-41.79,103300,16000
19:48.2,-20.62,-41.78,103300,16000
19:48.2,-22.97,-41.8,103300,16000
19:48.3,-20.77,-41.78,103300,16000
19:48.3,-23.01,-41.76,103300,16000
19:48.4,-20.71,-41.73,103300,16000
19:48.4,-21.78,-41.7,103300,16000
19:48.5,-20.8,-41.7,103300,16000
19:48.5,-21.4,-41.67,103300,16000
19:48.6,-20.85,-41.66,103300,16000
19:48.6,-20.42,-41.68,103300,16000
19:48.7,-20.88,-41.64,103300,16000
19:48.7,-21.28,-41.61,103300,16000
19:48.7,-20.97,-41.58,103300,16000
19:48.8,-20.5,-41.51,103300,16000
19:48.8,-21.51,-41.5,103300,16000
19:48.9,-19.87,-41.51,103300,16000
19:49.0,-22.53,-41.51,103300,16000
19:49.0,-21.55,-41.53,103300,16000
19:49.1,-22.02,-41.46,103300,16000
19:49.1,-20.6,-41.47,103300,16000
19:49.2,-19.31,-41.49,103300,16000
19:49.2,-21.16,-41.45,103300,16000
19:49.2,-20.54,-41.46,103300,16000
19:49.3,-21.24,-41.46,103300,16000
19:49.3,-20.72,-41.43,103300,16000
19:49.4,-23.19,-41.44,103300,16000
19:49.5,-20.85,-41.48,103300,16000
19:49.5,-21.64,-41.53,103300,16000
19:49.6,-20.86,-41.51,103300,16000
19:49.6,-22.23,-41.52,103300,16000
19:49.7,-21.58,-41.55,103300,16000
19:49.7,-21.32,-41.59,103300,16000
19:49.8,-22.14,-41.59,103300,16000
19:49.8,-19.52,-41.59,103300,16000
19:49.9,-19.91,-41.6,103300,16000
